Type (XID),Code,Mnemonic,Description,Applies to A100,Applies to H100,Applies to B100,Applies to GB200,Resolution Bucket (Immediate Action),Resolution Bucket (Investigatory Action),Xid 154 linkage,Trigger Conditions
XID,1,ROBUST_CHANNEL_FIFO_ERROR_FIFO_METHOD,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,2,ROBUST_CHANNEL_FIFO_ERROR_SW_METHOD,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,3,ROBUST_CHANNEL_FIFO_ERROR_UNK_METHOD,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,4,ROBUST_CHANNEL_FIFO_ERROR_CHANNEL_BUSY,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,5,ROBUST_CHANNEL_FIFO_ERROR_RUNOUT_OVERFLOW,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,6,ROBUST_CHANNEL_FIFO_ERROR_PARSE_ERR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,7,ROBUST_CHANNEL_FIFO_ERROR_PTE_ERR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,8,ROBUST_CHANNEL_FIFO_ERROR_IDLE_TIMEOUT,GPU stopped processing,YES,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,9,ROBUST_CHANNEL_GR_ERROR_INSTANCE,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,10,ROBUST_CHANNEL_GR_ERROR_SINGLE_STEP,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,11,ROBUST_CHANNEL_GR_ERROR_MISSING_HW,Invalid or corrupted push buffer stream,YES,YES,YES,YES,RESTART_APP,CHECK_APP/CUDA,,
XID,12,ROBUST_CHANNEL_GR_ERROR_SW_METHOD,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
