Xid,Subcode V1(<R575)/V2(>=R575) V1(<R575): IntrInfo[9:5] V2(>=R575):IntrInfo[6:0],"(V1(<R575)) IntrInfo decode for Data Center Recovery Action IntrInfo (binary; ""-"" user decode)","(V2(>=R575)) IntrInfo decode for Data Center Recovery Action IntrInfo (binary; ""-"" user decode)",Error Status (hex),Resolution Bucket (Data Center Recovery Action),(V1(<R575)) Decode for action 2,(V2(>=R575)) Decode for action 2,Action 2,Resolution Bucket (Investigatory Action),Severity (for items with '*' please see Customer User Guide tab),HW/SW,Local/Remote (for items with '*' please see Customer User Guide tab)
144,SAW_MVB,------000000----------0000100001,------000000-------------0000001,0x00000001,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,HW,"Local: Will lead to Xid 48. Will lead to poison or Xid94/95****; 
Remote: none"
144,SAW_MVB,------000000----------0000100001,------000000-------------0000001,0x00000002,RESET_GPU,,,,CONTACT_SUPPORT,Fatal,HW,"Local: Xid 48, AppCrash (Xid 45);
Remote: PacketLoss***(possible)"
144,SAW_MVB,------000000----------0000100001,------000000-------------0000001,0x00000004,IGNORE,,,,IGNORE,Non-fatal,HW,"Local: none; 
Remote: none"
144,SAW_MVB,------000000----------0000100001,------000000-------------0000001,0x00000008,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,HW,"Local: XID 48; 
Remote: Will lead to poison or Xid94****"
144,SAW_MVB,------000000----------0000100001,------000000-------------0000001,0x00000010,RESET_GPU,,,,CONTACT_SUPPORT,Fatal,HW,"Local: Xid 48, AppCrash (Xid 45);
Remote: PacketLoss***(possible)"
144,SAW_MVB,------000000----------0000100001,------000000-------------0000001,0x00000020,IGNORE,,,,IGNORE,Non-fatal,HW,"Local: none; 
Remote: none"
145,RLW_CTRL,------000000----------0001100010,------000000-------------0000011,0x80000000,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,SW,"Local: none; 
Remote: none"
145,RLW_REMAP,------000000----------0010000010,------000000-------------0000100,0x00000001,XID_154_EVAL,,,,CONTACT_SUPPORT,Non-fatal,SW,"Local: XC/AppCrash (Xid 45); 
Remote: none"
145,RLW_REMAP,------000000----------0010000010,------000000-------------0000100,0x00000002,XID_154_EVAL,,,,CONTACT_SUPPORT,Non-fatal,SW,"Local: XC/AppCrash (Xid 45); 
Remote: none"
145,RLW_REMAP,------000000----------0010000010,------000000-------------0000100,0x00000004,XID_154_EVAL,,,,CHECK_NVLINK_FAILURE_FLOW,Non-fatal,SW,"Local: XC/AppCrash (Xid 45); 
Remote: none"
