Guidance Class,Resolution Action
CONTACT_SUPPORT,Please contact your support organization for further investigation.
RESTART_APP,"The application should be restarted

RESET_GPU or RESTART_BM is not deemed necessary."
IGNORE,No Action required
WORKFLOW_XID_45,"Solo: RESTART_FM 
Not Solo: IGNORE (follow guidance in other Xid)"
RESET_GPU,"Refer to https://docs.nvidia.com/deploy/gpu-debug-guidelines/index.html for GPU Reset capabilities & limitations

RESTART_BM is not deemed necessary."
WORKFLOW_XID_48,"Data Center Recovery Action
Solo: RESET_GPU
w/ 63 or 64: DRAIN_AND_RESET

Investagatory Action
Solo: RUN_FIELDDIAG
Not Solo: 
String in error would tell us what unit was impacted. 
FB: follow Xid63/64 guidance
All other SRAM: check SRAM Error Threshold flag (nvidia-smi <sram_threshold_exceeded> or NSM Msg Type 0x3, Cmd Code 0x7D, bit 0. If set RUN_FIELDDIAG"
CHECK_MECHANICALS,Check to ensure that device seating and all applicable connections to it are secure.
WORKFLOW_NVLINK_ERR,"Extract the hex strings from the Xid error message. Note that there should be seven fields in the Xid. Unused fields would expect to be 0x0 rather than a full DWORD of 0’s. The first, third, fourth and fifth registers are valid for Hopper-based products. 
Evaluate the populate(d) registers. If bits other than those specifically outlined below are seen, please report a bug. 
First register:
Bit 0, 23, 30: Can be safely ignored.
Bits 1, 20: These are generally sympathetic or secondary errors. If seen with other bits set or other Xid/SXid, please follow the resolution for those. If seen solo, please report a bug. 
Bits 4 or 5: Likely HW issue with ECC/Parity --> If seen more than 2 times on the same link, report a bug.
Bits 8, 9, 12, 16, 17, 24, 28: Could possibly be a HW issue: Check link mechanical connections and re-seat if a field resolution is required. Run diags if issue persists. If the issue persist, and diagnostics has passed please report a bug. 
Bits 21 or 22: Marginal channel SI issue. If other errors accompany this Xid, follow the resolution for those first. Otherwise, check link mechanical connections. Run Field Diags and report a bug. 
Bits 27, 29: If seen repeatedly, please report a bug. 
Third register:
Bits 0, 1, 2, 6: Likely HW issue with ECC/Parity --> If seen more than 2 times on the same link, report a bug.
Bit 13: Not expected to be seen in production. If seen, please report a bug. 
Bits 16, 19: If seen repeatedly, please run Field Diags and report a bug
Bits 17, 18: If seen repeatedly, please report a bug.
Fourth register:
Bits 16, 17: These are generally sympathetic or secondary errors. If seen with other bits set or other Xid/SXid, please follow the resolution for those. If seen solo, please report a bug. 
Bit 18: These are generally sympathetic or secondary errors, though a reset of the fabric is required. If seen with other bits set or other Xid/SXid, please follow the resolution for those. If seen solo, please report a bug.
Fifth register:
Bits 18, 19, 21, 22, 24, 25, 27, 28: Likely HW issue with ECC/Parity --> If seen more than 2 times on the same link, report a bug.
Bits 20, 23, 26, 29: These errors represent a threshold of ECC errors being exceeded. There was no uncorrectable error at this time. Continue operation. If desired, Field Diags can be run to check for link integrity."
UPDATE_SWFW,"Update Firmware and Software to latest versions

XID 78: basic issues will keep vGPU functionality from being able to operate; must resolve to progress
1. Guest driver version is incompatible with the host driver
* In this case error string should be “Guest driver is incompatible with host driver""
2. This vGPU type is not compatible with the guest OS type/GPU type. For example, user is trying to use a compute profile on an old Maxwell GPU on windows guest.
* In this case error string should be ""vGPU type is not supported"""
RESTART_BM,"Restart bare metal, system should be restarted"
WORKFLOW_NVLINK5_ERR,"Please see the ""XID 144-150 Decode"" (was ""Customer Doc 144-150"")tab for further guidance in evaluating these Xids. These errors need decoding of XID message as follows to determine the resolution action:
Format of the XID error message: Xid (PCI:0000:BB:DF): <Xid Number> <sub component> <fatal vs nonfatal> <Crosscontain> <injected> <link> (<intrInfo> <errorStatus> <errorDebugData[0]> <errorDebugData[1]> <errorDebugData[2]> <errorDebugData[3]> <errorDebugData[4]>)
From the above message, <intrInfo>, <errorStatus> must be decoded and evaluated using ""XID 144-150 Decode"" to derive the final resolution."
RESTART_VM,"VM owning the affected GPU must be restarted

RESET_GPU or RESTART_BM is not deemed necessary."
XID_154,Follow XID 154 reported guidance
CHECK_UVM,"If UVM/vGPU is being utilized, RESET_GPU; otherwise IGNORE"
CHECK_APP/CUDA,"Issue likely caused by an application passing bad data or utilizing incorrect methods in communications with GPU. Some errors will contain PID that can be used 
to identify source of the problem. 
If determined to be a driver issue then REPORT_ISSUE"
